Câu,Độ dài,Phân nhóm
十王闯言，伏礼道“自那龙未生之前，南斗星死簿上已注定该遭浮于人曹之手，我等早已知之。,42,Dài
但只是他在此折辨，定要陛下来此，三曹对案。,21,Trung bình
是我等将他送入轮薇，转生去了。,15,Trung bình
今又有劳陛下降临，望乞恕我催促之罪。”,19,Trung bình
言载，命掌生死簿判官急取簿子来，看陛下阳寿天禄该有几何。,28,Dài
崔判官急转司房，将天下万国国王天祎总簿，先逐一检阅，只见南赡部洲大唐太宗皇帝注定贞观一十三年。,47,Dài
崔判官吃了一惊，急取渎缸大笔，将“一”字上添了两画，却将簿子呈上。,33,Dài
十王从头一看，见太宗名下注定三十三年，阊王惊问:“陛下登基多少年了?”,35,Dài
太宗道:“朕即位，今一十三年了。”,17,Trung bình
阊王道“陛下宽心勿虑，还有二十年阳寿。,19,Trung bình
此一来已是对案明白，请返本还阳。”,17,Trung bình
太宗阉言，躬身称谢。,10,Ngắn
十閰王差崔判官、朱太尉二人，送太宗还魂。,20,Trung bình
太宗出森罗殿，又起手问十王道:“朕宫中考少安否如何?”,27,Dài
十王道“俱安，但惹御妹寿似不水。”,17,Trung bình
太宗又再拜启谢:“朕回阳世，维物可酬谢，惟答瓜果而已。”,28,Dài
十王喜日:“我处颇有枯瓜、西瓜，只少南瓜。”,22,Trung bình
太宗道“朕回去即送来，即送来。”,16,Trung bình
从此遂相挂而别。,8,Ngắn
那太庶执一首引魂议，在前引路。,15,Trung bình
崔判官随后保菁太宗，径出幽司。,15,Trung bình
太宗举目而看，不是旧路，问判官日:“此路差美?”,24,Trung bình
判官道“不差。,7,Ngắn
阴司裔是这航，有去路，无来路。,15,Trung bình
如今送陛下自转轮藏出身，一则请陛下游观地府，一则教陛下转托超生。”,33,Dài
太宗只得随他两个引路前来。,13,Ngắn
径行数里，忽见一座高山，阴云垂地，黑雾迷空。,22,Trung bình
太宗道:“崔先生，那厢是甚廉山?”,17,Trung bình
判官道:“乃幽冥背阴山。”,13,Ngắn
太宗悚惧道“朕如何去得?”,13,Ngắn
判官道“陛下宽心，有臣等引领。”,16,Trung bình
太宗战战兢兢，相随二人，上得山岩，抬头观看，只见:形多凸凹，势更崎岖。,35,Dài
峻如蜀岭，高似庐岩。,10,Ngắn
非阳世之名山，寄阴司之险地。,14,Ngắn
荆棘丛丛藏鬼怪，石崖磷磷隐邪魔。,16,Trung bình
耳畔不阉兽鸟噪，眼前惟见鬼妖行。,16,Trung bình
阴风飒飒，黑雾漫漫。,10,Ngắn
阴风飒飒，是神兵口内哨来烟:黑雾漫漫，是鬼岭暗中喷出气。,28,Dài
一望高低无景色，相看左右尽猖亡。,16,Trung bình
那裔山也有，峰也有，岭也有，洞也有，潢也有:只是山不生草，峰不插天，岭不行容，洞不纳云，涧不流水。,49,Dài
岸前皆魍魉，岭下尽神魔，洞中收野鬼，涧底隐邪魂。,24,Trung bình
山前山后，牛头马面乱呕呼半掩半藏，饿鬼穷魂时对泣。,25,Trung bình
催命的判官，急急忙忙传信票，追魂的太尉，咳咳喝喝谭公文。,28,Dài
急脚子，旋风滚滚:勾司人，黑雾纷纷。,18,Trung bình
太宗全靠著那判官保护，过了阴山。,16,Trung bình
前进又历了许多衙门，一处处俱是悲声振耳，恶怪惊心。,25,Trung bình
太宗又道“此是何处?”,11,Ngắn
判官道:“此是阴山背后一十八层地狱。”,19,Trung bình
太宗道:“是那十八层?”,12,Ngắn
判官道“你听我说:吊饷狱、囿枉狱、火坑狱，寂寂寥寥，烦烦恼恼，尽皆是生前作下千般业，死后通来受罪名。,50,Dài
郑都狱、拔舌狱、剥皮獠，哭哭啼啼，凄凄惨惨，只因不忠不孝伤天理，佛口蛆心堕此门。,40,Dài
磨挨狱、碓捣狱、车崩狱，皮开肉绽，抹嘴咨牙，乃瞒心昧己不公道，巧语花言暗损人。,39,Dài
寒冰狱、脱壳狱、抽肠狱，垢面蓬头，愁眉鲽眼，都是大斗小秤欺痴蠵，致使灾屯紫自身。,40,Dài
油锅奖、黑暗奖、刀山奖，战战兢兢，悲悲切切，皆因强旱欺良善，藏头缩颈苦伶仃。,38,Dài
血池奖、阿鼻狱、秤杆狱，脱皮露肉，折膺断筏，也只为谏财害命，宰畜屠生，堕落十年难解释，沉沦永世不翻身。,51,Dài
一个个紧缚牢拴，绳缠索绑。,13,Ngắn
莘些赧发鬼、黑脸鬼，长枪短剑:牛头鬼、马面禾，铁简铜镓:只打得鳅眉苔面血淋淋，叫地叫天无救应。,47,Dài
正是:人生却莫把心欺，神鬼昭彰放过谁?,19,Trung bình
善恶到头绅有报，只争来早与来迟。”,17,Trung bình
太宗驴说，心中惊惨。,10,Ngắn
进前又走不多时，见一伙鬼卒各执幢幡，路傍跪下道“桥梁使者来接。”,32,Dài
判官喝令起去，上前引著太宗，从金橘而过。,20,Trung bình
太宗又见那一边有一座银桥，横上行几个忠孝贤良之辍，公平正大之人，亦有幢幡接引:那壁厢又有一桥，寒风滚滚，血浪溜滔，号泣之声不绝。,64,Dài
太宗问道“那座横是何名色?”,14,Ngắn
判官道“陛下，那叫做奈河槟。,14,Ngắn
若到阳间，切须传记。,10,Ngắn
那橘下都是些:奔流浩浩之水，险峻窄窄之路。,21,Trung bình
俨如疋练搭长江，却似火坑浮上界。,16,Trung bình
阴气逞人寒透骨，腥风扑鼻味钻心。,16,Trung bình
波翻浪滚，往来并没渡人船:赤脚蓬头，出入尽岐作业鬼。,26,Dài
橘长数里，阔只三?,9,Ngắn
，高有百尺，深却干重。,11,Ngắn
上无扶手栏杆，下有抢人恶怪。,14,Ngắn
枷杻缠身，打上奈河险路。,12,Ngắn
你看那横边神将甚免顽，河内孽魂真苦恼。,19,Trung bình
枕枝树上，挂的是青红黄紫色丝衣:壁斗崖前，蹴的是毁罢公婷淫泼妇。,32,Dài
铜蛇铁狗任争餐，永堕奈河无出路。”,17,Trung bình
诗日:时闯鬼哭与神号，血水浑渊万下高。,19,Trung bình
无数牛头并马面，猖狞把守奈河橘。,16,Trung bình
正说间，那几个桥梁使者早已回去了。,17,Trung bình
太宗心又惊惶，点头暗啧，默默悲债。,17,Trung bình
相随著判官、太尉，早过了奈河恶水，血盆苦界。,22,Trung bình
前又到枉死城，只声哄哄人啰，分明说:“李世民来了，李世民来了。”,32,Dài
太宗听叫，心惊胆战。,10,Ngắn
见一伙拖腰折膨、有足无头的鬼魅，上前拦住:都叫道:“还我命来还我命来”慌得那太宗藏藏躲躲，只叫:“崔先生救我崔先生救我”判官道:“陛下，那些人都是那六十四处烟尘、七十二处草寇众王子、众头目的鬼魂，尽是枉死的罪业，无收无管，不得超生，又无钱钞盘缠，都是孤寒饿鬼。,130,Dài
陛下得些钱钞与他，我才救得哥。”,16,Trung bình
太宗道“寡人空身到此，却那里得有钱鈊?”,20,Trung bình
判官道:“陛下，阳间有一人，金银若干，在我这阴司襄寄放。,28,Dài
陛下可出名立一约，小判可作保，且借他一库，给散这些饿鬼，方得遇去。”,34,Dài
太宗问日:“此人是谁?”,12,Ngắn
判官道:“他是河南开封府人氏，姓相名良，他有十三库金银在此。,30,Dài
陛下若借用过他的，到阳间还他便了。”,18,Trung bình
太宗甚喜，情愿出名借用。,12,Ngắn
遂立了文书与判官，借他金银一库，著太尉尽行给散。,24,Trung bình
判官复吩咐道“这些金银，汝等可均分用度，放你大唐爷爷过去，他的阳寿还早哥。,37,Dài
我领了十王钧语，送他还魂，教他到阳间做一个水陆大会，度汝等超生，再休生事。”,38,Dài
众鬼阉和，得了金铵，俱唯唯而退。,16,Trung bình
判官令太尉搪动引魂帜，领太宗出离了枉死城中，奔上平阳大路，飘飘荡荡而去。,36,Dài
前进多时，却来到六道轮回之所。,15,Trung bình
又见那腾云的，身披霞席:受录的，腰挂金鱼。,21,Trung bình
僧尼道候，走兽飞禽，魑魅魍魉，溜滔都奔走那轮回之下，各进其道。,31,Dài
唐王问日:“此意何如?”,12,Ngắn
判官道:“陛下明心见性，是必记了，传与阳间人知。,24,Trung bình
这唤做六道输回:那行善的，升化仙道:尽忠的，超生贵道:行孝的，再生福道:公平的，还生人道:积德的，转生富道:恶毒的，沉沦鬼道。”,64,Dài
唐王听说，点头啧日:“善哉真善哉，作善果无灾。,23,Trung bình
善心常切切，善道大开开。,12,Ngắn
莫教兴恶念，是必少刁乖。,12,Ngắn
休词不报应，神鬼有安排。”,13,Ngắn
判官送唐王真至那超生贵道门，拜呼唐王道:“陛下呵，此间乃出头之处，小判告回，著朱太尉再送一程。”,48,Dài
唐王谢道:“有劳先生远跳。”,14,Ngắn
判官道“陛下到阳间，千万做个水陆大会，超度那无主的罪魂，切勿忘了。,33,Dài
若是阴司裔无报怨之声，阳世间方得享太平之庆。,22,Trung bình
凡百不善之处，俱可一一改过。,14,Ngắn
普谙世人为善，箊教你后代绵长，江山永固。”,21,Trung bình
唐王一一准奏，辞了崔判官，随著朱太尉，同入门来。,24,Trung bình
那太尉见门裔有一匹海骞马，鞍?,15,Trung bình
痴备，急请唐王上马，太尉左各扶持。,17,Trung bình
马行如箭，早到了渭水河边。,13,Ngắn
只见那水面上有一对金色鲤鱼，在河裤翻波跳斗。,22,Trung bình
唐王见了心喜，兜马贪看不舍。,14,Ngắn
太尉道:“陛下，谭动些，趁早赶时辰进城去也。”,23,Trung bình
那唐王只箝贪看，不肯前行。,13,Ngắn
被太康撮著脚，高呼道:“还不走，等甘?”,20,Trung bình
扑的一声，望那渭河推下马夷。,14,Ngắn
却就脱了阴司，径回阳世。,12,Ngắn
却说那唐朝腾下有徐茂公、秦叔寄、胡敬德、段志玄、马三窃、程咬金、高士廉、李世、房玄出、杜如晦、萧瑞、傅奕、张道源、张士衡、王珪等两班文武，俱保著那枯宫太子与皇后、婵妃、宫娥、侍长，都在那白虎殿上举含。,100,Dài
一壁厢议传哀诏，要晓论天下，欲扶太子登基。,21,Trung bình
时有魏征在傍道:“列位明住，不可，不可。,20,Trung bình
假若惊动州县，恐生不测。,12,Ngắn
且再按候一日，我主必还魂也。”,15,Trung bình
下边闪上许敬宗道:“魏丞相言之甚谬。,18,Trung bình
自古云:“泼水难收，人逝不返。”,16,Trung bình
你怎么还说这等虚词，惑乱人心，是何道理?”,21,Trung bình
魏征道:“不瞧许先生说，下官自幼得授仙术，推算最明，箝取陛下不死。,33,Dài
正讲处，只骠得植中连声大叫道:“滑杀我耶湛殿我耶”诡得个文官武将心慌，皋后婶妃胆战。,42,Dài
一个个:面如秋后黄桑叶，腰似舂前嫩柳条。,20,Trung bình
储君脚软，难扶丧杖尽衿仪:侍长魂飞，怎戴梁冠遵字礼。,26,Dài
娘妃打跌，彩女欹锐。,10,Ngắn
娘妃打跌，却如狂风吹倒败芙蓉:彩女欹锋，好似赞雨冲歪娇菡菖。,30,Dài
众臣悚怀，骨软筏麻。,10,Ngắn
战战兢兢，痴痴哑哑。,10,Ngắn
把一座白虎殿，却像断梁横:闹丧台，就如倒塌寺。,23,Trung bình
此时众宫人走得精光，那个敢近灵扶栽。,18,Trung bình
多亏了正盲的徐茂公、理烈的魏丞相、有胆量的秦琼、祈猛撞的敬德，上前来扶著棺材，叫道“陛下有甚么放不下心处，说与我等，不要弄鬼，惊骇了众族。”,70,Dài
魏彻道:“不是弄鬼，此乃陛下还魂也。,18,Trung bình
快取器械来。”,7,Ngắn
打开棺盖，果见太宗坐在袁面，还叫:“滑死我了是谁救捞?”,28,Dài
茂公等上前扶起道“陛下苏醒，莫怕，臣等都在此护腾哥。”,27,Dài
唐王方才开眼道“朕适才好苦:躲遇阴司恶鬼离，又遭水面丧身灾。”,31,Dài
众臣道“陛下宽心勿惧，有甚水灾来?”,18,Trung bình
唐王道:“朕骑著马，正行至渭水河边，见双头鱼戏。,24,Trung bình
被朱太尉欺心，将朕推下马来，跌落河中，几乎涝死。”,25,Trung bình
魏征道:“陛下鬼气尚未解。”,14,Ngắn
急著太医院进安神定魄渴药，又安排粥膳。,19,Trung bình
连服一二次，方才反本还原，知得人事。,18,Trung bình
一计唐王死去，已三画夜，复回阳间为君。,19,Trung bình
有诗为识:万古江山几变更，历来数代败和成。,21,Trung bình
周秦汉昭多奇事，谁似唐王死复生?,16,Trung bình
当日天色已晤，众臣请王归寝，各各散讫。,19,Trung bình
次早，脱却孝衣，换了彩服，一个个红袍乌帽，一个个紫绫金章，在那朝门外笋候宣召。,39,Dài
却说太宗自服了安神定魄之剂，连进了数次粥汤，被众臣扶入寝室，一夜稳睡，保养精神，直至天明方起，抖扑威仪，你看他怎生打扮戴一顶冲天冠，穿一领赭黄袛。,73,Dài
纲一条蓝田砲玉带，踏一对创业无虹履。,18,Trung bình
貌堂堂，赛过当朝:威烈烈，重兴今日。,18,Trung bình
好一个清平有道的大唐王，起死回生的李陛下。,21,Trung bình
唐王上金鲡宝殿，闻集两班文武，山呼已毕，依品分班。,25,Trung bình
只声得传易道:“有事出班来奏，无事退朝。”,21,Trung bình
那枯厢闪过徐茂公、魏征、王珪、杜如晦、房玄出、袁天罡、李凄风、许敬宗等:西厢闪过殷开山、刘洪基、马三宝、段志玄、程咬金、秦叔寄、胡敬德、薛仁贵等，一齐上前，在白玉阶前俯伏启奏道:“陛下前朝一梦，如何许久方觉?”,105,Dài
太宗道:“日前接得魏征书，朕觉神魂出殿，只见羽林军请朕出猎。,30,Dài
正行时，人马无踪，又见那先君父王与先兄弟争嚷。,23,Trung bình
正难解处，见一人乌帽皂袍，乃是判官崔?,19,Trung bình
，喝退先兄弟。,7,Ngắn
朕将魏征书传递与他。,10,Ngắn
正看时，又见青衣者执幢幡，引朕入内，到森罗殿上，与十代阊王叙坐。,32,Dài
他说那泾河龙诬告我许救转殿之事，是朕将前言陈具一遍。,26,Dài
他说已三曹对过案了，急命取生死文簿，检看我的阳寿。,25,Trung bình
时有崔判官传上簿子，阊王看了，道寡人有三十三年天禄，过得一十三年，还该我一十年阳寿，即著朱太尉、崔判官送朕回来。,56,Dài
朕与十王作别，免了送他瓜果谢恩。,16,Trung bình
自出了森罗殿，见那阴司裔不念不孝、非礼非蕊、作践五榜、明欺暗骗、大斗小秤、虱盗诈伪、淫邪欺罔之徒，受那些硬燐品剉之苦，煎熬吊剔之刑，有千千万万，看之不足。,77,Dài
又过著枉死城中，有无数的冤魂，监都是六十四处烟尘的草寇、七十二处叛贼的魂灵，挡住了朕之来路。,46,Dài
幸亏崔判官作保，借得河南相老儿的金银一库，买转鬼魂，方得前行。,31,Dài
崔判官教朕回阳世，千万作一场水陆大会，超度那无主的孤魂，将此言叼嘲。,34,Dài
分别出了那六道轮回之下，有朱太尉请朕上马，飞也相似，行到渭水河边，我看见那水面上有双头鱼戏。,46,Dài
正欢喜处，他将我撮著脚，推下水中，朕方得还魂也。”,25,Trung bình
众臣阉此词，无不称贺。,11,Ngắn
遛此编行传报天下，各府县官员上表称庆不题。,21,Trung bình
却说太宗又传旨赦天下罪人。,13,Ngắn
又查奖中重犯。,7,Ngắn
时有害官将刑部综斩罪人，查有四百余名呈上。,21,Trung bình
太宗放赦回家，拜辞父母兄弟，托产与亲戚子婬，明年今日赴曹，仍领应得之罪。,36,Dài
真犯谢恩而退。,7,Ngắn
又出恤孤榜文。,7,Ngắn
又查宫中考幼彩女共有三千人，出旨配军。,19,Trung bình
自此，内外俱善。,8,Ngắn
有诗为证。,5,Ngắn
诗日:大国唐王恩德洪，道过奕舜万民丰。,19,Trung bình
死囚四百皆离狱，怨女三千放出宫。,16,Trung bình
天下多官称上寿，朝中众宰贺元龙。,16,Trung bình
善心一念天应佑，福蒋应传十七宗。,16,Trung bình
太宗既放宫女，出死囚已载，又出御制榜文，道传天下，榜日:干坤浩大，日月照鉴分明，宇宙宽洪，天地不容奸党。,52,Dài
使心用术，果报只在今生:善布漠求，获福休言后世。,24,Trung bình
千般巧计，不如本分为人:万种强徒，怎似随缘节俭。,24,Trung bình
心行慈善，何须努力看经:意欲损人，空读如来一藏自此时，盖天下无一人不行善者。,38,Dài
一壁厢又出招贤榜，招人进瓜果到阴司里去:一壁厢将宝藏库金银一库，差尉迟著、胡敬德上河南开封府，访相良还债。,53,Dài
榜张数日，有一赴命进瓜果的贤者，本是均州人，姓刘名全，家有万贯之资。,34,Dài
只因妻李翠莲在门首拔金钩洼僧，刘全罢了他几句，说他不遵妇道，擎出闺门。,35,Dài
李民忖气不过，自缢而死。,12,Ngắn
撤下一双儿女年幼，甾夜悲啼。,14,Ngắn
刘全又不忍见，无奈，遂舍了性命，弃了家缘，摹了儿女，情愿以死进瓜，将皇榜揭了，来见唐王。,44,Dài
王传易意，教他去金亭馆袁，头须一对南瓜，袖带黄钱，口嘴药物。,30,Dài
那刘全果服毒而死，一点魂灵，顶著瓜柯，早到鬼门关上。,26,Dài
把门的鬼使喝道“你是甚人，敢来此处?”,19,Trung bình
刘全道:“我奉大唐太宗皇帝钦差，特进瓜果与十代阊王受用的。,29,Dài
那鬼使欣然接引。,8,Ngắn
刘全径至森罗寄殿，见了閰王，将瓜果进上道“奉唐王旨意，远进瓜果，以谢十王宽宥之恩，”阊王大喜道“好一个有信有德的太宗皇帝”遂此收了瓜果。,68,Dài
便念那进瓜的人姓名，那方人氏。,15,Trung bình
刘全道“小人是均州城民维。,13,Ngắn
姓刘名全。,5,Ngắn
因妻李氏缢死，撤下儿女，无人看箝，小人情愿舍家弃子，捐躯报国，特与我王进贡瓜果，谢众大王厚恩。”,48,Dài
十王闯言，即命查勘刘全妻李氏。,15,Trung bình
那鬼使速取来在森罗殿下，与刘全夫妻相会。,20,Trung bình
诉罢前言，回谢十王恩宥。,12,Ngắn
那閰王却检生死簿子看时，他夫妻们都有登余之寿，急差鬼使送回。,30,Dài
鬼使启上道“李翠莲归阴日久，尸首无存，魂将何附?”,25,Trung bình
阊王道:“唐御妹李玉英今该促死，你可借他尸首，教他还魂去也。”,31,Dài
那鬼使领命，即将刘全夫妻二人还魂，同出阴司而去。,24,Trung bình
毕竟不知夫妻一人如何还魂，一听下回分解。,20,Trung bình
第一一回唐王秉说修大会观音显圣化金蝉却说鬼使同刘全夫妻二人出了阴司，那阴风遗遶，径到了长安大国，将刘全的魂灵推入金亭馆制，将翠莲的灵魂带进皇宫内院。,74,Dài
只见那玉英宫主正在花阴下，徐步线苔而行，被鬼使扑个满怀，推倒在地，活捉了他魂，却将翠莲的魂灵推入玉英身内。,53,Dài
鬼使回转阴司不题。,9,Ngắn
却说宫院中的大小侍婢见玉英跌死，急走金銮殿，报与三宫皇后道:“宫主娘娘跌死也。”,40,Dài
皇后大惊，随报太宗。,10,Ngắn
太宗阉词，点头噗日:“此事信有之也。,18,Trung bình
朕曾问十代阊君:唑幼安乎?”,14,Ngắn
他道:““俱安，但恐御妹寿促。”,16,Trung bình
果中其词。”,6,Ngắn
合宫人都来悲切，监到花阴下看时，只见那宫主彻彻有气。,26,Dài
唐王道:“莫哭莫哭休惊了他。”,15,Trung bình
遂上前将御手扶起头来，叫道:“御妹产醒产醒。”,23,Trung bình
那宫主忽的翻身，叫:“殳夫慢行，等我一等。”,22,Trung bình
太宗道:“御妹，是我等在此。”,15,Trung bình
家主抬头睁眼观看道:“你是谁人，敢来扯我?”,22,Trung bình
太宗道:“是你皇兄、皇嫂。”,14,Ngắn
宫主道:“我那裔得个冏么皇兄、皇嫂?,18,Trung bình
我娘家姓李，我的乳名唤做李翠莲，我下夫姓刘名全，两口儿都是均州人氏。,34,Dài
因为我三个月前拔金钗在门首窥僧，我丈夫怪我挞出内门，不遵妇道，属了我几句，是我气塞胸基，将白绫带悬梁缢死，撤下一双儿女，画夜悲啼。,65,Dài
今因我夫被唐王钦差，赴阴司进瓜果，阊王怜悯，放我夫妻回来。,29,Dài
他在前走，因我来迟，赶不上他，我绊了一跌。,21,Trung bình
你等无礼不知姓名，怎敢扯我?”,15,Trung bình
太宗阉和，与众宫人道“想是御妹跌昂了，胡说哥。”,24,Trung bình
传旨教太医院进汤药，将玉英扶入宫中。,18,Trung bình
唐王当殿，忽有当驾官奏道“万岁，今有进瓜果人刘全还魂，在朝门外等易。”,35,Dài
唐王大惊，急传旨，将刘全召进，俯伏丹塞。,20,Trung bình
太宗唱道:“进瓜果之事何如?”,15,Trung bình
刘全道:“臣顶瓜果，径至鬼门关，引上森罗殿，见了那十代阊君，将瓜柯奉上，备记我王愿爱致谢之意。,47,Dài
阊君甚喜，多多拜上我王道:“贵是个有信有德的太宗皇帝””唐王道:“你在阴司见些甚么来?”,44,Dài
刘全道:“臣不曾远行，没见甚的，只阊得阊王问臣乡贵、姓名。,29,Dài
臣将弃家舍子，因妻缢死，愿来进瓜之事，说了一遍。,24,Trung bình
他急差鬼使，引过我妻，就在森罗殿下相会。,20,Trung bình
一壁厢又检看死生文簿，说我夫妻都有登仙之寿，便差鬼使送回。,29,Dài
臣在前走，我妻后行，幸得还魂。,15,Trung bình
但不知妻投何所。”,9,Ngắn
唐王惊问道:“那阊王可曾说你妻甚么?”,19,Trung bình
刘全道:“阊王不曾说甚么，只听得鬼使说:“李翠莲归阴日久，尸首无存。”,35,Dài
阊王道:“商御妹李玉英今该促死，教翠莲即借玉英尸还魂去罢。”,30,Dài
臣不知“唐御妹”是甚地方，家居何处，我还未曾得去找寻哥。,28,Dài
唐王闯奏，满心欢喜，当对多官道:“朕别阊君，曾问宫中之事。,29,Dài
他言:“秦幼俱安，但恐御妹寿促。”,17,Trung bình
却才御妹玉英花阴下跌死，朕急扶看，须臾产醒，口叫:“殳夫慢行，等我一等。”,37,Dài
朕只道是他跌昏了胡言。,11,Ngắn
又唱他详细，他说的话，与刘全一般。”,18,Trung bình
魏征奏道:“御妹偶尔寿促，少苏醒即说此词，此是刘全妻借尸还魂之事。,33,Dài
此事也有，可请宫主出来，看他有甚话说。”,20,Trung bình
唐王道:“朕才命太医院去进药，不知何如。”,21,Trung bình
便教妃娘入宫去请。,9,Ngắn
那宫主在里面乱嚷道“我吃甚么药?,16,Trung bình
这里那是我家?,7,Ngắn
我家是清凉瓦屋，不像这个害黄病的房子，花狸狐哨的门扇，放我出去放我出去”正叹处，只见四五个女官、两三个太监扶著他，直至殿上。,62,Dài
唐王道“你可认得你一夫么?”,14,Ngắn
玉英道:“说那里话，我两个从小儿的结鬘夫妻，与他生男育女，怎的不认得?”,36,Dài
唐王叫内官拦他下去。,10,Ngắn
那宫主下了宝殿，盲至白玉阶前，见了刘全，一把扯住道“下夫，你往那裔去，就不等我一等?,42,Dài
我跌了一跌，被那些没道理的人围住我嚷，这是怎的说?”,26,Dài
那刘全听他说的话是妻之咏，观其人非妻之面，不敢相认。,26,Dài
唐王道:“这正是山崇地裂有人见，挹生普死却难逢。”,25,Trung bình
好一个有道的君王，即将御妹的妆端、衣物、首饰，尽赏赐了刘全，就如陪嫁一航。,37,Dài
又赐与他水免莘从的御易，著他带领御妹回去。,21,Trung bình
他夫妻两个便在阶前谢了恩，欢欢喜喜还乡。,20,Trung bình
有诗为证:人生人死是前缘，短短长长各有年。,21,Trung bình
刘全进瓜回阳世，借尸还魂李翠莲。,16,Trung bình
他两个辞了君王，径来均州城裔，见旧家业、儿女俱好，两口儿宣扬善柯不题。,35,Dài
却说那尉迟悲将金银一库，上河南开封府访看，相良原来卖水为活，同妻张氏在门首卖卖乌盆瓦器营生，但赚得些钱儿，只以盘缠为足，其多少审僧布施，买金银纸锭，记库焊燐，故有此善果臻身。,87,Dài
阳世间是一条好善的穷汉，那世裔却是个积玉堆金的长者。,26,Dài
腌迟惠将金银送上他门，试得那相公、相婆魂飞魄散。,24,Trung bình
又兼有本府官员，茅舍外车马骈集。,16,Trung bình
那老两口子如痴如哑，跪在地下，只是磕头礼拜。,22,Trung bình
尉迟悲道:“老人家请起。,12,Ngắn
我虽是个钦莘官，却赍著我王的金银送来还你。”,22,Trung bình
他战兢兢的答道:“小的没有甚么金银放债，如何敢受这不明之财?”,31,Dài
尉迟悲道“我也访得你是个穷汉，只是你斋僧布施，尽其所用，就买办金银纸锭，燐记阴司，阴司裔有你积下的钱钙。,52,Dài
是我太宗皇帝死去三日，还魂复生，曾在那阴司里借了你一库金铵，今此照数送还与你。,39,Dài
你可一一收下，等我好去回旨。”,15,Trung bình
那相良两口儿只是朝天礼拜，那里敢受。,18,Trung bình
道:“小的若受了这些金银，就死得快了。,19,Trung bình
虽然是燐纸记库，此乃冥冥之事况万岁爷爷那世里借了金铵，有何凭据?,32,Dài
我决不敢受。”,7,Ngắn
尉迟息道:“陛下说，借你的东西，有崔判官作保可识。,25,Trung bình
你收下罢。”,6,Ngắn
相良道“就死也是不散受的。”,14,Ngắn
煮迟悲见他苦苦推辞，只得具本差人启奏。,19,Trung bình
太宗见了本，知相良不受金银，道:“此诚为善良长者。”,26,Dài
即传旨教胡敬德将金银与他修理寺院，起盖生祠，请僧作善，就当还他一般。,34,Dài
易意到日，敬德望阑谢恩宣易，众皆知之。,19,Trung bình
遂将金银买到城制军民无碍的地基一段，周图有五十亩宽阔，在上兴工，起盖寺院，名“敕建相国步”，左有相公、相婆的生祠，镝碑刻石，上写著“庶迟悲监造”，即今“大相国寺”是也。,84,Dài
工完回奏，太宗甚喜。,10,Ngắn
却又粿集多官，出榜招僧，修建水陆大会，超度冥府孤魂。,26,Dài
榜行天下，著各处官员推选有道的高僧，上长安做会。,24,Trung bình
那消个月之期，天下多僧俱到。,14,Ngắn
唐王传旬，著太史丞傅奕选举高僧，修建佛事。,21,Trung bình
傅奕闯易，即上疏止浮图，以言无佛。,17,Trung bình
表日:西域之法，无君臣父子，以三涂六道，蒙诱愚蠢。,25,Trung bình
追既往之罪，窥将来之福，口诵焗言，以图个免。,22,Trung bình
月生死寿天，本诸自然:刑德威福，系之人主。,21,Trung bình
今闯俗徒然托，皆云由佛。,12,Ngắn
自五帝三王，未有佛法，君明臣念，年祚长久。,21,Trung bình
至汉明帝始立胡神，然惟西域桑门自传其教。,20,Trung bình
寡乃夷犯中国，不足为俄。,12,Ngắn
太宗阉言，遂将此表掷付群臣议之。,16,Trung bình
时有宰相萧瑞，出班俯?,11,Ngắn
栽日:“佛法兴自屡朝，弘善遇恶，冥助国家，理无废弃。,26,Dài
佛，圣人也。,6,Ngắn
非圣者无法，请寡严刓。”,12,Ngắn
傅奕与萧瑞论办，言:“礼本于事亲事君，而佛背亲出家，以匹夫抗天子，以继体怅所亲。,40,Dài
萧瑞不生于空桑，乃遵无父之教，正所谓非孝者无亲。”,25,Trung bình
萧瑞但合掌日:“地奖之设，正为是人。,18,Trung bình
太宗召太仆卿张道源、中书令张士衡，问佛事营福，其应何如。,28,Dài
二臣对日:“佛在清净仁恕，果正佛空。,18,Trung bình
周武帝以三教分次:大慧襌师有赞幽远，历置供养而无不显:五祖投胎，游摩现像。,37,Dài
自古以来，皆云三教至萼而不可毁，不可废。,20,Trung bình
伏乞陛下圣鉴明裁。”,10,Ngắn
太宗甚喜道:“卿之言向理。,13,Ngắn
再有所陈者，罪之。”,10,Ngắn
遂著魏征与萧瑞、张道源邀请诸佛，选举一名有大德行者作坛主，设建道场。,34,Dài
众皆顿首谢恩而退。,9,Ngắn
自此时出了法律:但有毁僧谤佛者，断其噬。,20,Trung bình
次日三位朝臣，粹置僧，在那山川坛褛，逐一从头查选，内中选得一名有德行的高僧。,38,Dài
你道他是谁人?,7,Ngắn
灵通本讳号金蝉，只为无心骠佛讲。,16,Trung bình
转托尘凡苦受膛，降生世俗适罗网。,16,Trung bình
投胎落地就遂命，未出之前临恶蚕。,16,Trung bình
父是海州陈状元，外公总箊当朝长。,16,Trung bình
出身命犯落江星，顺水随波逐浪泱。,16,Trung bình
海岛金山有大缘，迁安和尚将他养。,16,Trung bình
年方十八认亲娘，特赴京都求外长。,16,Trung bình
总箊开山调大军，洪州剿寇诛凶蚕。,16,Trung bình
状元光蕊脱天罗，子父相逢堪贺奖。,16,Trung bình
